,date,hr,tickets
758,2022-08-01,14,74.44311377
759,2022-08-01,15,67.35329341
760,2022-08-01,16,63.80838323
761,2022-08-01,17,58.49101796
762,2022-08-01,18,51.4011976
763,2022-08-01,19,38.99401198
764,2022-08-01,20,28.35928144
765,2022-08-01,21,17.7245509
766,2022-08-01,22,0
767,2022-08-01,23,0
768,2022-08-02,0,0
769,2022-08-02,1,0
770,2022-08-02,2,0
771,2022-08-02,3,0
772,2022-08-02,4,0
773,2022-08-02,5,0
774,2022-08-02,6,0
775,2022-08-02,7,0
776,2022-08-02,8,17.11776447
777,2022-08-02,9,36.3752495
778,2022-08-02,10,55.63273453
779,2022-08-02,11,66.33133733
780,2022-08-02,12,64.19161677
781,2022-08-02,13,54.56287425
782,2022-08-02,14,44.93413174
783,2022-08-02,15,40.65469062
784,2022-08-02,16,38.51497006
785,2022-08-02,17,35.30538922
786,2022-08-02,18,31.0259481
787,2022-08-02,19,23.53692615
788,2022-08-02,20,17.11776447
789,2022-08-02,21,10.69860279
790,2022-08-02,22,0
791,2022-08-02,23,0
792,2022-08-03,0,0
793,2022-08-03,1,0
794,2022-08-03,2,0
795,2022-08-03,3,0
796,2022-08-03,4,0
797,2022-08-03,5,0
798,2022-08-03,6,0
799,2022-08-03,7,0
800,2022-08-03,8,27.14570858
801,2022-08-03,9,57.68463074
802,2022-08-03,10,88.22355289
803,2022-08-03,11,105.1896208
804,2022-08-03,12,101.7964072
805,2022-08-03,13,86.52694611
806,2022-08-03,14,71.25748503
807,2022-08-03,15,64.47105788
808,2022-08-03,16,61.07784431
809,2022-08-03,17,55.98802395
810,2022-08-03,18,49.20159681
811,2022-08-03,19,37.3253493
812,2022-08-03,20,27.14570858
813,2022-08-03,21,16.96606786
814,2022-08-03,22,0
815,2022-08-03,23,0
816,2022-08-04,0,0
817,2022-08-04,1,0
818,2022-08-04,2,0
819,2022-08-04,3,0
820,2022-08-04,4,0
821,2022-08-04,5,0
822,2022-08-04,6,0
823,2022-08-04,7,0
824,2022-08-04,8,26.57085828
825,2022-08-04,9,56.46307385
826,2022-08-04,10,86.35528942
827,2022-08-04,11,102.9620758
828,2022-08-04,12,99.64071856
829,2022-08-04,13,84.69461078
830,2022-08-04,14,69.74850299
831,2022-08-04,15,63.10578842
832,2022-08-04,16,59.78443114
833,2022-08-04,17,54.80239521
834,2022-08-04,18,48.15968064
835,2022-08-04,19,36.53493014
836,2022-08-04,20,26.57085828
837,2022-08-04,21,16.60678643
838,2022-08-04,22,0
839,2022-08-04,23,0
840,2022-08-05,0,0
841,2022-08-05,1,0
842,2022-08-05,2,0
843,2022-08-05,3,0
844,2022-08-05,4,0
845,2022-08-05,5,0
846,2022-08-05,6,0
847,2022-08-05,7,0
848,2022-08-05,8,26.02794411
849,2022-08-05,9,55.30938124
850,2022-08-05,10,84.59081836
851,2022-08-05,11,100.8582834
852,2022-08-05,12,97.60479042
853,2022-08-05,13,82.96407186
854,2022-08-05,14,68.32335329
855,2022-08-05,15,61.81636727
856,2022-08-05,16,58.56287425
857,2022-08-05,17,53.68263473
858,2022-08-05,18,47.1756487
859,2022-08-05,19,35.78842315
860,2022-08-05,20,26.02794411
861,2022-08-05,21,16.26746507
862,2022-08-05,22,0
863,2022-08-05,23,0
864,2022-08-06,0,0
865,2022-08-06,1,0
866,2022-08-06,2,0
867,2022-08-06,3,0
868,2022-08-06,4,0
869,2022-08-06,5,0
870,2022-08-06,6,0
871,2022-08-06,7,0
872,2022-08-06,8,43.33732535
873,2022-08-06,9,92.09181637
874,2022-08-06,10,140.8463074
875,2022-08-06,11,167.9321357
