dt_date,Parking
2022/8/16,26
2022/8/16,18
2022/8/16,23
2022/8/16,15
2022/8/16,63
2022/8/16,30
2022/8/16,10
2022/8/16,45
2022/8/16,24
2022/8/16,21
2022/8/16,4
2022/8/16,0
2022/8/16,0
2022/8/16,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,51
2022/8/17,16
2022/8/17,24
2022/8/17,10
2022/8/17,38
2022/8/17,36
2022/8/17,23
2022/8/17,22
2022/8/17,0
2022/8/17,9
2022/8/17,0
2022/8/17,0
2022/8/17,21
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/17,0
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/18,45
2022/8/18,41
2022/8/18,20
2022/8/18,22
2022/8/18,27
2022/8/18,8
2022/8/18,42
2022/8/18,47
2022/8/18,31
2022/8/18,13
2022/8/18,22
2022/8/18,36
2022/8/18,18
2022/8/18,10
2022/8/18,0
2022/8/18,0
2022/8/18,0
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/19,49
2022/8/19,28
2022/8/19,26
2022/8/19,29
2022/8/19,36
2022/8/19,12
2022/8/19,13
2022/8/19,55
2022/8/19,40
2022/8/19,13
2022/8/19,34
2022/8/19,41
2022/8/19,31
2022/8/19,3
2022/8/19,0
2022/8/19,0
2022/8/19,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,35
2022/8/20,23
2022/8/20,13
2022/8/20,11
2022/8/20,17
2022/8/20,16
2022/8/20,9
2022/8/20,38
2022/8/20,20
2022/8/20,10
2022/8/20,27
2022/8/20,22
2022/8/20,23
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/20,0
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/21,55
2022/8/21,7
2022/8/21,11
2022/8/21,18
2022/8/21,0
2022/8/21,0
2022/8/21,3
2022/8/21,50
2022/8/21,36
2022/8/21,29
2022/8/21,30
2022/8/21,25
2022/8/21,34
2022/8/21,8
2022/8/21,0
2022/8/21,0
2022/8/21,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,64
2022/8/22,20
2022/8/22,29
2022/8/22,21
2022/8/22,32
2022/8/22,32
2022/8/22,30
2022/8/22,45
2022/8/22,54
2022/8/22,10
2022/8/22,39
2022/8/22,19
2022/8/22,30
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/22,0
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/23,61
2022/8/23,17
2022/8/23,14
2022/8/23,19
2022/8/23,25
2022/8/23,30
2022/8/23,20
2022/8/23,42
2022/8/23,40
2022/8/23,25
2022/8/23,32
2022/8/23,33
2022/8/23,25
2022/8/23,2
2022/8/23,0
2022/8/23,0
2022/8/23,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,30
2022/8/24,23
2022/8/24,17
2022/8/24,22
2022/8/24,28
2022/8/24,19
2022/8/24,15
2022/8/24,46
2022/8/24,24
2022/8/24,27
2022/8/24,31
2022/8/24,35
2022/8/24,25
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/24,0
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/25,38
2022/8/25,37
2022/8/25,21
2022/8/25,33
2022/8/25,31
2022/8/25,25
2022/8/25,34
2022/8/25,48
2022/8/25,37
2022/8/25,32
2022/8/25,32
2022/8/25,27
2022/8/25,29
2022/8/25,9
2022/8/25,0
2022/8/25,0
2022/8/25,0
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/26,35
2022/8/26,23
2022/8/26,22
2022/8/26,15
2022/8/26,8
2022/8/26,44
2022/8/26,7
2022/8/26,66
2022/8/26,21
2022/8/26,23
2022/8/26,37
2022/8/26,12
2022/8/26,34
2022/8/26,7
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/27,35
2022/8/27,19
2022/8/27,11
2022/8/27,24
2022/8/27,21
2022/8/27,16
2022/8/27,19
2022/8/27,26
2022/8/27,37
2022/8/27,8
2022/8/27,20
2022/8/27,27
2022/8/27,8
2022/8/27,1
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/28,81
2022/8/28,10
2022/8/28,23
2022/8/28,21
2022/8/28,29
2022/8/28,36
2022/8/28,20
2022/8/28,18
2022/8/28,37
2022/8/28,20
2022/8/28,7
2022/8/28,17
2022/8/28,16
2022/8/28,9
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/29,70
2022/8/29,11
2022/8/29,21
2022/8/29,30
2022/8/29,31
2022/8/29,14
2022/8/29,34
2022/8/29,44
2022/8/29,29
2022/8/29,33
2022/8/29,33
2022/8/29,31
2022/8/29,34
2022/8/29,8
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/30,43
2022/8/30,34
2022/8/30,23
2022/8/30,35
2022/8/30,42
2022/8/30,19
2022/8/30,29
2022/8/30,46
2022/8/30,29
2022/8/30,13
2022/8/30,33
2022/8/30,18
2022/8/30,29
2022/8/30,7
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,40
2022/8/31,15
2022/8/31,39
2022/8/31,12
2022/8/31,36
2022/8/31,20
2022/8/31,23
2022/8/31,27
2022/8/31,30
2022/8/31,3
2022/8/31,28
2022/8/31,12
2022/8/31,24
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
