time,港濱軸帶,安平老街,國華海安商圈,孔廟文化園區,赤崁園區
2022/7/1108:00:00PM,30,29.96,30.4,30.4,30.4
2022/7/1109:00:00PM,29.8,29.92,30.1,30.1,30.1
2022/7/1110:00:00PM,29.8,29.84,29.9,29.9,29.9
2022/7/1111:00:00PM,29.7,29.75,29.9,29.9,29.9
2022/7/1212:00:00AM,29.7,29.73,29.9,29.9,29.9
2022/7/1201:00:00AM,29.4,29.52,29.6,29.6,29.6
2022/7/1202:00:00AM,29.2,29.37,29.4,29.4,29.4
2022/7/1203:00:00AM,29.3,29.33,29.4,29.4,29.4
2022/7/1204:00:00AM,29.2,29.33,29.3,29.3,29.3
2022/7/1205:00:00AM,29.1,29.01,28.9,28.9,28.9
2022/7/1206:00:00AM,28.3,29.04,28.6,28.6,28.6
2022/7/1207:00:00AM,29.6,30.78,29.4,29.4,29.4
2022/7/1208:00:00AM,30.7,30.83,29.8,29.8,29.8
2022/7/1209:00:00AM,31.6,30.99,31.6,31.6,31.6
2022/7/1210:00:00AM,32.2,31.44,32.5,32.5,32.5
2022/7/1211:00:00AM,32.1,31.45,32.5,32.5,32.5
2022/7/1212:00:00PM,31.8,31.64,32.7,32.7,32.7
2022/7/1201:00:00PM,32.5,31.78,32.1,32.1,32.1
2022/7/1202:00:00PM,32.4,31.73,32,32,32
2022/7/1203:00:00PM,31.3,32.1,31.7,31.7,31.7
2022/7/1204:00:00PM,32.2,32.52,32.3,32.3,32.3
2022/7/1205:00:00PM,31.2,31.41,31.4,31.4,31.4
2022/7/1206:00:00PM,30.9,30.71,31,31,31
2022/7/1207:00:00PM,30.1,30.28,30.6,30.6,30.6
2022/7/1208:00:00PM,30,29.99,30.5,30.5,30.5
2022/7/1209:00:00PM,29.9,29.68,30.3,30.3,30.3
2022/7/1210:00:00PM,29.9,29.68,30.2,30.2,30.2
2022/7/1211:00:00PM,29.7,29.7,30.2,30.2,30.2
2022/7/1312:00:00AM,29.6,29.52,29.8,29.8,29.8
2022/7/1301:00:00AM,29.3,29.38,29.5,29.5,29.5
2022/7/1302:00:00AM,29.1,29.24,29.4,29.4,29.4
2022/7/1303:00:00AM,29.1,29.3,29.3,29.3,29.3
2022/7/1304:00:00AM,29.1,29.53,29.4,29.4,29.4
2022/7/1305:00:00AM,29.2,29.56,29.4,29.4,29.4
2022/7/1306:00:00AM,29,29.38,29,29,29
2022/7/1307:00:00AM,29.2,29.69,29.4,29.4,29.4
2022/7/1308:00:00AM,29.9,30.23,30.1,30.1,30.1
2022/7/1309:00:00AM,29.5,30.07,30.4,30.4,30.4
2022/7/1310:00:00AM,31.2,30.74,31.2,31.2,31.2
2022/7/1311:00:00AM,31.2,31.2,31.2,31.2,31.2
2022/7/1312:00:00PM,31.9,31.58,32.1,32.1,32.1
2022/7/1301:00:00PM,32.5,31.62,32.6,32.6,32.6
2022/7/1302:00:00PM,32.4,31.75,32.1,32.1,32.1
2022/7/1303:00:00PM,32.2,31.59,32.4,32.4,32.4
2022/7/1304:00:00PM,31.6,31.17,31.6,31.6,31.6
2022/7/1305:00:00PM,31.2,30.5,31.2,31.2,31.2
2022/7/1306:00:00PM,30.5,30.15,30.7,30.7,30.7
2022/7/1307:00:00PM,29.9,29.79,30,30,30
2022/7/1308:00:00PM,29.6,29.69,29.9,29.9,29.9
2022/7/1309:00:00PM,29.8,29.83,30,30,30
2022/7/1310:00:00PM,29.6,29.77,30,30,30
2022/7/1311:00:00PM,29.6,29.61,29.9,29.9,29.9
2022/7/1412:00:00AM,29.3,29.52,29.6,29.6,29.6
2022/7/1401:00:00AM,28.9,29.34,29.5,29.5,29.5
2022/7/1402:00:00AM,28.9,29.17,29.6,29.6,29.6
2022/7/1403:00:00AM,28.9,29.21,29.2,29.2,29.2
2022/7/1404:00:00AM,29,29.17,29.5,29.5,29.5
2022/7/1405:00:00AM,28.8,29.11,29.1,29.1,29.1
2022/7/1406:00:00AM,28.9,29.31,29.4,29.4,29.4
2022/7/1407:00:00AM,30,30.31,29.5,29.5,29.5
2022/7/1408:00:00AM,31.1,31.49,30.4,30.4,30.4
2022/7/1409:00:00AM,32.2,32.27,31.2,31.2,31.2
2022/7/1410:00:00AM,31.6,31.21,32.3,32.3,32.3
2022/7/1411:00:00AM,30.9,30.37,32,32,32
2022/7/1412:00:00PM,28.1,28.32,29.1,29.1,29.1
2022/7/1401:00:00PM,29.5,29.65,29.8,29.8,29.8
2022/7/1402:00:00PM,29.8,29.48,29.4,29.4,29.4
2022/7/1403:00:00PM,29.7,29.62,29.7,29.7,29.7
2022/7/1404:00:00PM,29.6,29.99,29.1,29.1,29.1
2022/7/1405:00:00PM,29.8,29.97,30.2,30.2,30.2
2022/7/1406:00:00PM,29.5,29.78,30.5,30.5,30.5
2022/7/1407:00:00PM,29.4,29.47,29.8,29.8,29.8
2022/7/1408:00:00PM,29.2,29.44,29.6,29.6,29.6
2022/7/1409:00:00PM,29.1,29.3,29.4,29.4,29.4
2022/7/1410:00:00PM,29,29.3,28.8,28.8,28.8
2022/7/1411:00:00PM,28.5,28.77,28.8,28.8,28.8
2022/7/1512:00:00AM,28.7,28.65,28.7,28.7,28.7
2022/7/1501:00:00AM,28.9,28.54,29,29,29
2022/7/1502:00:00AM,27.8,27.25,27.3,27.3,27.3
2022/7/1503:00:00AM,27.1,26.93,26.9,26.9,26.9
2022/7/1504:00:00AM,27,26.81,26.6,26.6,26.6
2022/7/1505:00:00AM,26.4,25.88,26.1,26.1,26.1
2022/7/1506:00:00AM,26.4,26.11,26,26,26
2022/7/1507:00:00AM,26.9,26.62,26.2,26.2,26.2
2022/7/1508:00:00AM,27.1,27.21,26.7,26.7,26.7
2022/7/1509:00:00AM,27.8,28.05,27.3,27.3,27.3
2022/7/1510:00:00AM,29.4,29.48,29.2,29.2,29.2
2022/7/1511:00:00AM,30,30.19,29.6,29.6,29.6
2022/7/1512:00:00PM,31.1,31.14,30,30,30
2022/7/1501:00:00PM,31.6,29.52,29.1,29.1,29.1
2022/7/1502:00:00PM,26.4,26.97,27.3,27.3,27.3
2022/7/1503:00:00PM,30.5,29.81,29,29,29
2022/7/1504:00:00PM,30.5,29.74,29.3,29.3,29.3
2022/7/1505:00:00PM,30.7,29.99,30,30,30
2022/7/1506:00:00PM,30.3,29.51,29.8,29.8,29.8
2022/7/1507:00:00PM,29.8,29.11,30,30,30
2022/7/1508:00:00PM,29.4,29.01,29.7,29.7,29.7
2022/7/1509:00:00PM,28.9,29.02,29.2,29.2,29.2
2022/7/1510:00:00PM,29.2,29.09,29.2,29.2,29.2
2022/7/1511:00:00PM,29.1,28.99,29.3,29.3,29.3
2022/7/1612:00:00AM,28.7,28.87,28.8,28.8,28.8
2022/7/1601:00:00AM,28.4,28.8,28.7,28.7,28.7
2022/7/1602:00:00AM,28.3,28.63,28.3,28.3,28.3
2022/7/1603:00:00AM,28.1,28.47,28.1,28.1,28.1
2022/7/1604:00:00AM,28,28.31,28.1,28.1,28.1
2022/7/1605:00:00AM,27.7,27.92,28,28,28
2022/7/1606:00:00AM,28,28.2,27.9,27.9,27.9
2022/7/1607:00:00AM,28.4,29.06,28.2,28.2,28.2
2022/7/1608:00:00AM,30.5,30.81,29.9,29.9,29.9
2022/7/1609:00:00AM,31.3,28.82,31.1,31.1,31.1
2022/7/1610:00:00AM,24.9,24.95,25.7,25.7,25.7
2022/7/1611:00:00AM,26.8,26.98,28.3,28.3,28.3
2022/7/1612:00:00PM,29.2,28.12,29.8,29.8,29.8
2022/7/1601:00:00PM,29.6,29.41,30.7,30.7,30.7
2022/7/1602:00:00PM,30.7,30.48,31,31,31
2022/7/1603:00:00PM,30.2,29.85,30.8,30.8,30.8
2022/7/1604:00:00PM,29.9,29.78,29.4,29.4,29.4
2022/7/1605:00:00PM,30.4,30.17,30.5,30.5,30.5
2022/7/1606:00:00PM,30,29.78,30.3,30.3,30.3
